municipio,icms_25_por_cento,icms_liquido,ipi_25_por_cento,ipi_liquido,ipva_50_por_cento,ipva_liquido,mes_competencia,ano_competencia
ABAIARA,"408567,97","326854,38","1130,18","904,14","9727,12","7781,7",Abril,2013
ACARAPE,"252117,01","201693,61","697,4","557,92","21016,28","16813,02",Abril,2013
ACARAU,"648666,1","518932,88","1794,34","1435,47","123545,33","98836,26",Abril,2013
ACOPIARA,"319641,12","255712,9","884,19","707,35","80114,79","64091,83",Abril,2013
AIUABA,"201351,91","161081,53","556,98","445,58","9136,2","7308,96",Abril,2013
ALCANTARAS,"224252,82","179402,26","620,33","496,26","13720,17","10976,14",Abril,2013
ALTANEIRA,"219112,9","175290,32","606,11","484,89","10645,15","8516,12",Abril,2013
ALTO SANTO,"213796,31","171037,05","591,4","473,12","32220,31","25776,25",Abril,2013
AMONTADA,"380737,49","304589,99","1053,19","842,55","42497,41","33997,93",Abril,2013
ANTONINA DO,"281946,65","225557,32","779,92","623,94","8936,74","7149,39",Abril,2013
APUIARES,"186339,96","149071,97","515,45","412,36","14181,55","11345,24",Abril,2013
AQUIRAZ,"2161866,07","1729492,86","5980,14","4784,11","220117,93","176094,34",Abril,2013
ARACATI,"1358523,36","1086818,69","3757,94","3006,35","186090,03","148872,02",Abril,2013
ARACOIABA,"199275,72","159420,58","551,24","440,99","35735,63","28588,5",Abril,2013
ARARENDA,"253456,21","202764,97","701,11","560,89","11086,55","8869,24",Abril,2013
ARARIPE,"248936,07","199148,86","688,61","550,89","26479,87","21183,9",Abril,2013
ARATUBA,"193438,91","154751,13","535,09","428,07","11574,92","9259,94",Abril,2013
ARNEIROZ,"165768,97","132615,18","458,55","366,84","7557,6","6046,08",Abril,2013
ASSARE,"234893,99","187915,19","649,76","519,81","35206,65","28165,32",Abril,2013
AURORA,"189032,76","151226,21","522,9","418,32","31461,37","25169,1",Abril,2013
BAIXIO,"298122,77","238498,22","824,67","659,74","11059,06","8847,25",Abril,2013
BANABUIU,"296285,81","237028,65","819,58","655,66","26066,47","20853,18",Abril,2013
BARBALHA,"949621,37","759697,1","2626,84","2101,47","169740,39","135792,31",Abril,2013
BARREIRA,"266555,74","213244,59","737,34","589,87","39272,06","31417,65",Abril,2013
